Gene ID	Common Name	Annotation	logFC: YPS606 (WT) EtOH response	Pvalue: YPS606 (WT) EtOH response	FDR: YPS606 (WT) EtOH response	logFC: YPS606 msn2/4ÆÆ EtOH response	Pvalue: YPS606 msn2/4ÆÆ  EtOH response	FDR: YPS606 msn2/4ÆÆ  EtOH response	logFC: WT v msn2/4ÆÆ: EtOH response	Pvalue: WT v msn2/4ÆÆ: EtOH response	FDR: WT v msn2/4ÆÆ: EtOH response	logFC: WT v msn2/4ÆÆ: unstressed	Pvalue: WT v msn2/4ÆÆ: unstressed	FDR: WT v msn2/4ÆÆ:unstressed	logFC: WT v msn2/4ÆÆ: EtOH absolute	Pvalue: WT v msn2/4ÆÆ: EtOH absolute	FDR: WT v msn2/4ÆÆ: EtOH absolute			
YDR516C	EMI2	Hexokinase expressed during growth with low glucose levels	7.001343703	3.65E-38	1.75E-35	3.037496497	8.08E-25	1.79E-23	-3.963847206	5.87E-24	2.95E-21	-0.737705589	9.73E-06	0.005602659	-4.701552796	4.37E-33	2.79E-30			
YPL004C	LSP1	Eisosome core component	2.686124098	7.46E-29	1.70E-27	-0.082452588	0.39304802	0.438319298	-2.768576686	6.16E-24	2.95E-21	-0.200406708	0.041928692	0.998531082	-2.968983394	1.80E-30	3.84E-28			
YKL150W	MCR1	Mitochondrial NADH-cytochrome b5 reductase	3.293624765	1.23E-30	4.09E-29	0.380825309	0.000691272	0.001164802	-2.912799456	2.47E-23	1.09E-20	-0.21063226	0.050274203	0.998531082	-3.123431716	7.66E-30	1.52E-27			
YGR088W	CTT1	Cytosolic catalase T	6.514133627	3.74E-30	1.10E-28	0.327392035	0.169462588	0.204921566	-6.186741592	8.76E-23	3.42E-20	0.242952079	0.343344064	0.998531082	-5.943789513	1.77E-29	3.39E-27			
YHL021C	AIM17	Protein of unknown function	4.947532854	2.74E-31	1.06E-29	0.714544324	6.82E-05	0.000129147	-4.23298853	8.91E-23	3.42E-20	-0.505340637	0.004072229	0.426177317	-4.738329167	6.73E-31	1.68E-28			
YMR250W	GAD1	Glutamate decarboxylase	6.406387841	2.55E-34	2.10E-32	1.732222888	8.44E-13	3.55E-12	-4.674164952	1.81E-22	6.51E-20	0.06745993	0.73976185	0.998531082	-4.606705022	1.02E-30	2.45E-28			
YDR258C	HSP78	Oligomeric mitochondrial matrix chaperone	5.104205824	1.42E-29	3.76E-28	0.627218333	0.000453707	0.000783304	-4.476987491	2.14E-22	7.23E-20	1.084925318	5.27E-07	0.000505554	-3.392062172	1.63E-24	1.92E-22			
YLR177W	YLR177W	Putative protein of unknown function	3.76879154	2.09E-28	4.30E-27	0.203402333	0.173078358	0.209074297	-3.565389206	1.93E-21	6.16E-19	0.147180397	0.340548006	0.998531082	-3.41820881	2.52E-27	4.39E-25			
YMR031C	EIS1	Component of the eisosome required for proper eisosome assembly	1.506574771	2.50E-17	1.19E-16	-1.194980433	2.56E-13	1.14E-12	-2.701555204	8.17E-21	2.48E-18	0.052763074	0.641159098	0.998531082	-2.64879213	5.89E-26	8.27E-24			
YOR315W	SFG1	Putative transcription factor	-5.519237394	4.33E-31	1.61E-29	-1.678671027	1.55E-16	1.01E-15	3.840566367	1.23E-20	3.53E-18	0.13956748	0.26967766	0.998531082	3.980133847	9.14E-25	1.12E-22			
YHR104W	GRE3	Aldose reductase	4.930913666	4.16E-37	1.14E-34	2.49379924	2.90E-26	8.06E-25	-2.437114425	1.62E-20	4.45E-18	-0.125774594	0.246098835	0.998531082	-2.562889019	2.69E-27	4.56E-25			
YDL124W	YDL124W	NADPH-dependent alpha-keto amide reductase	6.023452486	1.39E-39	1.51E-36	3.264312223	6.29E-29	2.76E-27	-2.759140262	2.52E-20	6.60E-18	-0.448776265	0.001636933	0.240593709	-3.207916527	4.53E-31	1.24E-28			
YDR074W	TPS2	Phosphatase subunit of the trehalose-6-P synthase/phosphatase complex	4.260135948	2.84E-35	3.40E-33	1.936016513	1.30E-22	1.90E-21	-2.324119436	3.22E-20	8.05E-18	-0.069876459	0.498051593	0.998531082	-2.393995894	2.11E-26	3.03E-24			
YBR072W	HSP26	Small heat shock protein (sHSP) with chaperone activity	8.600390167	1.83E-39	1.51E-36	3.918575436	6.26E-26	1.64E-24	-4.681814731	6.25E-20	1.50E-17	0.46391091	0.075625406	0.998531082	-4.217903821	5.65E-32	2.32E-29			
YOL153C	YOL153C	"Blocked reading frame, contains two in-frame stops in translation"	4.821575307	2.57E-32	1.24E-30	1.507562096	5.60E-13	2.39E-12	-3.314013212	6.79E-20	1.56E-17	-0.375550648	0.024041178	0.935006914	-3.68956386	5.97E-29	1.11E-26			
YER067W	RGI1	Protein involved in energy metabolism under respiratory conditions	9.883473951	7.51E-38	2.88E-35	3.468701721	4.35E-19	3.90E-18	-6.41477223	8.53E-20	1.89E-17	-0.282790306	0.369439686	0.998531082	-6.697562537	2.31E-34	1.66E-31			
YFL014W	HSP12	Plasma membrane protein involved in maintaining membrane organization	8.059970396	4.50E-31	1.65E-29	0.395197165	0.239820356	0.28126101	-7.664773231	8.90E-20	1.90E-17	0.025816043	0.943538303	0.998531082	-7.638957188	5.50E-31	1.44E-28			
YEL011W	GLC3	"Glycogen branching enzyme, involved in glycogen accumulation"	5.948726942	1.41E-30	4.62E-29	1.440557455	7.05E-09	2.01E-08	-4.508169487	1.71E-19	3.51E-17	0.2436321	0.304431578	0.998531082	-4.264537387	5.01E-27	8.02E-25			
YGR086C	PIL1	Eisosome core component involved in endocytosis	0.945239424	1.37E-17	6.73E-17	-0.537232558	6.42E-10	2.01E-09	-1.482471982	2.88E-19	5.72E-17	-0.017397259	0.799768891	0.998531082	-1.499869241	4.41E-25	5.64E-23			
YGR008C	STF2	Protein involved in resistance to desiccation stress	7.187175872	2.53E-36	4.55E-34	2.020416221	8.54E-12	3.20E-11	-5.16675965	3.08E-19	5.91E-17	-0.923589081	0.000679761	0.130423498	-6.090348731	5.28E-35	4.34E-32			
YML054C	CYB2	Cytochrome b2 (L-lactate cytochrome-c oxidoreductase)	4.716840451	2.26E-34	1.91E-32	1.895004817	1.37E-17	1.02E-16	-2.821835634	1.21E-18	2.25E-16	-0.475862523	0.003120891	0.363822719	-3.297698156	7.59E-30	1.52E-27			
YFR015C	GSY1	Glycogen synthase	8.215316875	5.84E-34	4.25E-32	2.242353295	1.98E-11	7.20E-11	-5.97296358	1.56E-18	2.81E-16	0.0249022	0.939663207	0.998531082	-5.948061381	2.71E-31	8.21E-29			
YMR090W	YMR090W	Putative protein of unknown function	4.944794077	6.66E-32	3.00E-30	1.666610683	1.65E-13	7.46E-13	-3.278183394	1.80E-18	3.14E-16	-0.081405579	0.652347357	0.998531082	-3.359588973	3.59E-27	5.90E-25			
YBR085C-A	YBR085C-A	Protein of unknown function	3.795364385	3.55E-29	8.70E-28	0.928031707	6.63E-08	1.71E-07	-2.867332678	2.25E-18	3.81E-16	-0.23599073	0.124677696	0.998531082	-3.103323408	1.30E-26	1.92E-24			
YKL151C	NNR2	Widely-conserved NADHX dehydratase	5.991891251	1.65E-39	1.51E-36	3.693488586	9.79E-32	9.39E-30	-2.298402665	4.84E-18	7.95E-16	0.051433527	0.689447045	0.998531082	-2.246969138	1.92E-25	2.51E-23			
YDR342C	HXT7	High-affinity glucose transporter	3.157895802	2.79E-14	1.04E-13	-2.665655928	3.14E-11	1.12E-10	-5.823551731	7.98E-18	1.24E-15	-0.454630893	0.101890136	0.998531082	-6.278182623	1.95E-22	1.73E-20			
YGR281W	YOR1	Plasma membrane ATP-binding cassette (ABC) transporter	0.795803589	2.89E-13	9.88E-13	-0.745297516	2.88E-12	1.13E-11	-1.541101105	7.99E-18	1.24E-15	-0.053464522	0.49454963	0.998531082	-1.594565627	6.81E-24	7.25E-22			
YBR183W	YPC1	Alkaline ceramidase	3.941928182	6.19E-27	9.95E-26	-0.251985533	0.320852291	0.366070523	-4.193913715	3.39E-17	5.13E-15	-1.093128451	1.44E-05	0.006886457	-5.287042166	1.76E-30	3.84E-28			
YPR160W	GPH1	Glycogen phosphorylase required for the mobilization of glycogen	8.119338885	9.89E-33	5.32E-31	1.059968001	0.003117994	0.004824508	-7.059370884	4.76E-17	7.02E-15	-0.422701802	0.27408939	0.998531082	-7.482072685	1.67E-32	8.75E-30			
YLR152C	YLR152C	Putative protein of unknown function	1.282952532	3.32E-14	1.23E-13	-1.042672137	5.15E-10	1.63E-09	-2.325624669	6.05E-17	8.70E-15	-0.06527101	0.603503877	0.998531082	-2.390895679	4.04E-23	3.94E-21			
YBL064C	PRX1	Mitochondrial peroxiredoxin with thioredoxin peroxidase activity	3.561221682	7.99E-29	1.81E-27	1.205437756	5.58E-12	2.14E-11	-2.355783926	1.06E-16	1.49E-14	-0.066766246	0.621122527	0.998531082	-2.422550172	3.00E-23	2.98E-21			
YHR087W	RTC3	Protein of unknown function involved in RNA metabolism	8.043410764	1.92E-31	7.83E-30	0.476967514	0.222347753	0.263304243	-7.566443251	1.20E-16	1.64E-14	-0.14432278	0.733347324	0.998531082	-7.71076603	1.38E-31	4.42E-29			
YGR070W	ROM1	Guanine nucleotide exchange factor (GEF) for Rho1p	2.764053203	8.93E-26	1.19E-24	0.456113429	0.001121066	0.00183685	-2.307939774	1.49E-16	1.99E-14	-0.234039714	0.090077451	0.998531082	-2.541979488	7.25E-25	9.07E-23			
YMR169C	ALD3	Cytoplasmic aldehyde dehydrogenase	4.81294376	2.43E-26	3.51E-25	0.893340883	0.000210792	0.000379043	-3.919602876	1.94E-16	2.53E-14	-0.095900522	0.692301915	0.998531082	-4.015503398	1.67E-24	1.92E-22			
YLL039C	UBI4	Ubiquitin	5.719954465	2.09E-38	1.09E-35	3.831877749	2.42E-32	2.79E-30	-1.888076717	7.93E-16	1.01E-13	-0.233368754	0.044233127	0.998531082	-2.121445471	1.52E-23	1.60E-21			
YFL051C	YFL051C	NA	-4.543737151	6.37E-27	1.02E-25	-1.584166736	5.07E-13	2.19E-12	2.959570415	9.50E-16	1.19E-13	-0.542998256	0.000756436	0.133243224	2.416572159	2.03E-16	8.75E-15			
YJL042W	MHP1	Microtubule-associated protein involved in microtubule organization	2.193335396	6.32E-25	7.62E-24	0.466139028	3.00E-05	5.89E-05	-1.727196368	1.03E-15	1.26E-13	0.270847467	0.011258578	0.696821238	-1.4563489	1.12E-18	6.64E-17			
YBR149W	ARA1	NADP+ dependent arabinose dehydrogenase	2.36601812	3.13E-27	5.18E-26	0.764213732	2.39E-10	7.87E-10	-1.601804388	1.26E-15	1.51E-13	-0.1182385	0.214378609	0.998531082	-1.720042888	4.01E-22	3.30E-20			
YMR261C	TPS3	Regulatory subunit of trehalose-6-phosphate synthase/phosphatase	2.749524234	6.52E-28	1.21E-26	0.993891772	2.54E-12	1.01E-11	-1.755632462	1.74E-15	2.05E-13	-0.02058874	0.844369542	0.998531082	-1.776221202	4.81E-21	3.64E-19			
YBL075C	SSA3	ATPase involved in protein folding and the response to stress	3.096661758	3.91E-29	9.42E-28	1.231296184	2.73E-14	1.35E-13	-1.865365574	2.09E-15	2.40E-13	0.114157207	0.331823799	0.998531082	-1.751208367	1.43E-20	1.02E-18			
YPL014W	CIP1	Cyclin-dependent kinase inhibitor	1.898246117	1.18E-19	7.29E-19	-0.168007725	0.188182119	0.226038455	-2.066253842	2.38E-15	2.69E-13	-0.149592884	0.240666381	0.998531082	-2.215846726	3.86E-22	3.22E-20			
YCR091W	KIN82	Putative serine/threonine protein kinase	3.032873545	1.50E-24	1.72E-23	0.581563658	0.000261963	0.000464671	-2.451309888	2.52E-15	2.79E-13	0.405845896	0.0146991	0.784151851	-2.045463992	1.87E-19	1.18E-17			
YMR016C	SOK2	Nuclear protein that negatively regulates pseudohyphal differentiation	-3.093790739	1.32E-32	6.85E-31	-1.614741239	1.44E-22	2.08E-21	1.4790495	2.79E-15	3.03E-13	-0.193016293	0.024533815	0.941444251	1.286033206	1.51E-17	7.60E-16			
YOR298C-A	MBF1	Transcriptional coactivator	0.332090165	0.001183777	0.001787287	-1.260338631	1.31E-16	8.62E-16	-1.592428796	4.39E-15	4.67E-13	0.353900744	0.000609552	0.120985547	-1.238528052	2.31E-16	9.70E-15			
YPL230W	USV1	Putative transcription factor containing a C2H2 zinc finger	4.152808382	2.73E-23	2.64E-22	-0.007318366	0.978335458	0.982820999	-4.160126748	6.47E-15	6.77E-13	0.263867162	0.364770823	0.998531082	-3.896259587	3.00E-23	2.98E-21			
YDR033W	MRH1	Protein that localizes primarily to the plasma membrane	0.50356518	0.00205611	0.003036165	-2.068723175	2.86E-16	1.81E-15	-2.572288355	7.25E-15	7.45E-13	-0.514427617	0.001797347	0.240593709	-3.086715973	2.88E-22	2.46E-20			
YIL056W	VHR1	Transcriptional activator	0.00217039	0.982205778	0.985802347	-1.602231725	8.24E-20	8.27E-19	-1.604402115	7.41E-15	7.48E-13	0.155412273	0.115620572	0.998531082	-1.448989842	3.12E-18	1.71E-16			
YLR178C	TFS1	"Inhibitor of carboxypeptidase Y (Prc1p), and Ras GAP (Ira2p)"	4.315596742	2.52E-27	4.20E-26	1.42686586	4.46E-10	1.42E-09	-2.888730881	7.58E-15	7.52E-13	-0.017053182	0.932048405	0.998531082	-2.905784064	2.06E-22	1.80E-20			
YLR270W	DCS1	Non-essential hydrolase involved in mRNA decapping	2.752365137	2.39E-31	9.36E-30	1.336114956	5.17E-19	4.58E-18	-1.41625018	7.90E-15	7.71E-13	-0.117139254	0.204791895	0.998531082	-1.533389434	4.11E-22	3.33E-20			
YJL141C	YAK1	Serine-threonine protein kinase	2.497227662	1.68E-27	2.86E-26	0.900278441	2.69E-11	9.68E-11	-1.59694922	1.49E-14	1.40E-12	-0.195678601	0.070228331	0.998531082	-1.792627822	1.52E-22	1.39E-20			
YPL061W	ALD6	Cytosolic aldehyde dehydrogenase	-7.040973848	4.96E-26	6.93E-25	-3.046107918	9.39E-16	5.59E-15	3.99486593	1.47E-14	1.40E-12	0.072843563	0.752830337	0.998531082	4.067709492	1.43E-18	8.32E-17			
YMR251W-A	HOR7	Protein of unknown function	5.669799926	2.37E-31	9.34E-30	2.685326402	6.77E-18	5.25E-17	-2.984473524	1.69E-14	1.57E-12	-0.929903029	6.11E-05	0.02342892	-3.914376553	8.15E-27	1.23E-24			
YGL037C	PNC1	Nicotinamidase that converts nicotinamide to nicotinic acid	6.038160776	4.58E-35	4.98E-33	3.83680523	5.49E-28	1.96E-26	-2.201355546	2.14E-14	1.95E-12	-0.644509211	8.25E-05	0.028330473	-2.845864756	1.90E-24	2.15E-22			
YNL007C	SIS1	Type II HSP40 co-chaperone that interacts with the HSP70 protein Ssa1p	1.840639966	5.88E-16	2.48E-15	-0.456114203	0.00305024	0.004724753	-2.29675417	2.44E-14	2.19E-12	0.547046878	0.000528933	0.119396553	-1.749707292	2.62E-15	9.66E-14			
YML128C	MSC1	Protein of unknown function	4.611598892	3.33E-31	1.26E-29	2.255738415	9.66E-19	8.32E-18	-2.355860477	3.24E-14	2.87E-12	-0.136161955	0.431414969	0.998531082	-2.492022432	5.96E-23	5.62E-21			
YOR161C	PNS1	Protein of unknown function	0.958172928	4.05E-05	7.02E-05	-2.712751627	1.62E-13	7.34E-13	-3.670924555	3.54E-14	3.09E-12	-0.364226458	0.101507307	0.998531082	-4.035151013	8.66E-20	5.80E-18			
YGR248W	SOL4	6-phosphogluconolactonase	7.346466805	4.51E-31	1.65E-29	0.565141894	0.172672012	0.208714846	-6.781324912	5.78E-14	4.96E-12	0.144167674	0.763068978	0.998531082	-6.637157237	3.85E-31	1.11E-28			
YGR019W	UGA1	Gamma-aminobutyrate (GABA) transaminase	3.299283553	2.69E-29	6.76E-28	1.501680318	7.02E-16	4.25E-15	-1.797603236	9.32E-14	7.89E-12	-0.23305998	0.077822736	0.998531082	-2.030663215	2.90E-22	2.46E-20			
YBL015W	ACH1	Protein with CoA transferase activity	3.452198946	7.59E-27	1.19E-25	1.38535559	1.08E-12	4.46E-12	-2.066843356	1.21E-13	1.01E-11	-0.241324403	0.102417452	0.998531082	-2.308167758	5.00E-21	3.74E-19			
YGR143W	SKN1	Protein involved in sphingolipid biosynthesis	0.148483981	0.138280492	0.163236774	-1.347084372	1.76E-16	1.15E-15	-1.495568353	1.90E-13	1.56E-11	-0.104610396	0.299625561	0.998531082	-1.600178749	2.44E-19	1.53E-17			
YPL240C	HSP82	Hsp90 chaperone	4.742074784	7.28E-28	1.33E-26	2.331008423	1.22E-17	9.11E-17	-2.411066361	2.19E-13	1.78E-11	1.085123174	7.21E-08	0.000103701	-1.325943187	1.89E-10	3.16E-09			
YFR017C	IGD1	Cytoplasmic protein that inhibits Gdb1p glycogen debranching activity	5.965296797	1.62E-25	2.09E-24	0.409744418	0.296744051	0.341406908	-5.555552379	4.06E-13	3.24E-11	-0.066434285	0.876418313	0.998531082	-5.621986664	1.22E-25	1.68E-23			
YEL039C	CYC7	"Cytochrome c isoform 2, expressed under hypoxic conditions"	6.732206737	1.43E-28	3.05E-27	1.367421647	0.000192765	0.000347823	-5.364785091	4.63E-13	3.65E-11	0.315857856	0.474627311	0.998531082	-5.048927235	6.74E-27	1.05E-24			
YBR161W	CSH1	Mannosylinositol phosphorylceramide (MIPC) synthase catalytic subunit	0.894227464	4.30E-10	1.13E-09	-0.739867346	1.03E-07	2.59E-07	-1.63409481	4.70E-13	3.65E-11	0.201850249	0.086991713	0.998531082	-1.432244561	3.27E-16	1.34E-14			
YNL274C	GOR1	Glyoxylate reductase	4.345976142	5.86E-29	1.37E-27	1.771907414	1.57E-12	6.36E-12	-2.574068728	5.36E-13	4.11E-11	-0.44820074	0.036572136	0.998531082	-3.022269468	9.90E-25	1.19E-22			
YBR230C	OM14	Mitochondrial outer membrane receptor for cytosolic ribosomes	3.221104997	4.97E-23	4.65E-22	0.889572882	3.03E-06	6.61E-06	-2.331532115	5.82E-13	4.41E-11	-0.084097561	0.628947874	0.998531082	-2.415629676	3.65E-19	2.26E-17			
YJR127C	RSF2	Zinc-finger protein	1.874682134	9.38E-24	9.57E-23	0.564953474	2.70E-07	6.50E-07	-1.30972866	6.58E-13	4.92E-11	0.061052711	0.52459184	0.998531082	-1.248675948	1.33E-17	6.84E-16			
YER073W	ALD5	Mitochondrial aldehyde dehydrogenase	-1.880590523	6.14E-17	2.84E-16	0.04181069	0.755587496	0.786182506	1.922401213	8.92E-13	6.58E-11	0.006869961	0.959336446	0.998929735	1.929271173	2.29E-17	1.11E-15			
YBR169C	SSE2	Member of Hsp110 subclass of the heat shock protein 70 (HSP70) family	6.067325186	2.01E-32	1.02E-30	3.39341844	2.81E-22	3.93E-21	-2.673906746	1.54E-12	1.12E-10	0.033491097	0.886090581	0.998531082	-2.64041565	5.09E-22	4.07E-20			
YKL085W	MDH1	Mitochondrial malate dehydrogenase	1.917796078	9.46E-25	1.11E-23	0.702184963	5.52E-10	1.75E-09	-1.215611115	1.56E-12	1.12E-10	-0.203233246	0.027470576	0.991653974	-1.418844361	5.82E-20	3.94E-18			
YOR185C	GSP2	GTP binding protein (mammalian Ranp homolog)	4.450428006	6.22E-33	3.58E-31	2.552492562	2.74E-22	3.84E-21	-1.897935444	1.62E-12	1.15E-10	-0.40070885	0.015257993	0.784151851	-2.298644294	6.26E-24	6.80E-22			
YMR173W	DDR48	DNA damage-responsive protein	3.531238605	5.88E-20	3.76E-19	0.259373311	0.31184257	0.3565685	-3.271865295	1.97E-12	1.38E-10	-0.276787954	0.293489931	0.998531082	-3.548653248	2.17E-20	1.52E-18			
YJL005W	CYR1	Adenylate cyclase	2.100295654	6.46E-28	1.20E-26	1.008866025	4.50E-16	2.78E-15	-1.091429629	2.16E-12	1.49E-10	0.151063192	0.068656689	0.998531082	-0.940366437	3.26E-15	1.19E-13			
YAL060W	BDH1	"NAD-dependent (R,R)-butanediol dehydrogenase"	1.04367462	4.49E-09	1.09E-08	-0.924125131	1.17E-07	2.93E-07	-1.967799751	2.28E-12	1.54E-10	-0.534798742	0.00057633	0.120985547	-2.502598494	1.40E-20	1.01E-18			
YNL015W	PBI2	Cytosolic inhibitor of vacuolar proteinase B (PRB1)	4.349289112	1.18E-27	2.10E-26	1.823381632	2.08E-12	8.33E-12	-2.52590748	2.27E-12	1.54E-10	-0.536099066	0.014371673	0.784151851	-3.062006546	2.07E-23	2.13E-21			
YPR026W	ATH1	Acid trehalase required for utilization of extracellular trehalose	3.519386644	9.33E-32	4.13E-30	2.027883822	3.61E-22	4.96E-21	-1.491502822	2.30E-12	1.54E-10	0.032496656	0.788853299	0.998531082	-1.459006166	1.13E-18	6.64E-17			
YMR145C	NDE1	Mitochondrial external NADH dehydrogenase	-3.156969965	3.40E-28	6.56E-27	-4.714883093	4.14E-34	1.19E-31	-1.557913128	2.48E-12	1.64E-10	-0.07510986	0.507580756	0.998531082	-1.633022988	1.56E-17	7.79E-16			
YBR139W	ATG42	Vacuolar serine-type carboxypeptidase	4.48846022	3.34E-33	2.07E-31	2.869075372	5.79E-26	1.55E-24	-1.619384848	3.81E-12	2.49E-10	-0.020938168	0.872061483	0.998531082	-1.640323017	3.39E-18	1.83E-16			
YJR059W	PTK2	Serine/threonine protein kinase	2.334461192	7.14E-28	1.31E-26	1.149274909	2.30E-16	1.48E-15	-1.185186283	4.60E-12	2.98E-10	0.021535917	0.814450909	0.998531082	-1.163650366	6.16E-17	2.86E-15			
YOR052C	TMC1	"AN1-type zinc finger protein, effector of proteotoxic stress response"	3.154711081	2.63E-25	3.33E-24	1.241877208	6.15E-11	2.14E-10	-1.912833873	4.94E-12	3.16E-10	0.202375569	0.211804101	0.998531082	-1.710458303	5.04E-17	2.38E-15			
YBL005W-B	YBL005W-B	Retrotransposon TYA Gag and TYB Pol genes	1.911874077	5.46E-13	1.81E-12	4.395994532	3.28E-25	7.70E-24	2.484120455	7.75E-12	4.90E-10	-0.290323181	0.169850684	0.998531082	2.193797274	4.22E-16	1.67E-14			
YDL181W	INH1	Protein that inhibits ATP hydrolysis by the F1F0-ATP synthase	0.947439988	9.09E-10	2.33E-09	-0.661415083	4.42E-06	9.44E-06	-1.608855071	9.32E-12	5.83E-10	-0.101269176	0.420882571	0.998531082	-1.710124247	1.87E-17	9.29E-16			
YJL165C	HAL5	Snf1p-related nutrient-responsive protein kinase	1.396225651	7.77E-19	4.35E-18	0.200494327	0.036195721	0.048780747	-1.195731324	1.06E-11	6.57E-10	0.185357018	0.054458957	0.998531082	-1.010374305	3.36E-14	1.07E-12			
YDR513W	GRX2	Cytoplasmic glutaredoxin	2.214573578	1.05E-22	9.34E-22	0.737232765	9.16E-08	2.32E-07	-1.477340813	1.08E-11	6.62E-10	-0.187261421	0.115027885	0.998531082	-1.664602234	2.05E-18	1.14E-16			
YKL096W	CWP1	Cell wall mannoprotein that localizes to birth scars of daughter cells	-0.278852005	0.136470008	0.16119872	-2.720836714	2.19E-17	1.58E-16	-2.441984708	1.12E-11	6.81E-10	0.281554522	0.130804655	0.998531082	-2.160430186	4.20E-14	1.30E-12			
YAL034C	FUN19	Non-essential protein of unknown function	1.336919757	2.81E-17	1.34E-16	0.04584142	0.657153166	0.695709697	-1.291078337	1.21E-11	7.28E-10	-0.119778664	0.25421947	0.998531082	-1.410857001	2.87E-18	1.59E-16			
YBL039C	URA7	Major CTP synthase isozyme (see also URA8)	-6.949102782	3.62E-41	2.08E-37	-5.493847439	1.05E-38	3.01E-35	1.455255343	1.43E-11	8.51E-10	-0.040035253	0.68166603	0.998531082	1.41522009	3.08E-14	9.97E-13			
YMR315W	YMR315W	Protein with NADP(H) oxidoreductase activity	3.129628285	1.53E-29	3.99E-28	1.770924922	4.82E-20	4.99E-19	-1.358703363	2.01E-11	1.18E-09	-0.157305871	0.168495567	0.998531082	-1.516009234	1.97E-18	1.11E-16			
YDL206W	YDL206W	Putative protein of unknown function	2.491014151	1.48E-27	2.56E-26	1.245508636	4.17E-16	2.59E-15	-1.245505515	2.14E-11	1.25E-09	0.176902341	0.102124361	0.998531082	-1.068603173	5.04E-15	1.80E-13			
YLL026W	HSP104	Disaggregase	5.69119297	9.99E-31	3.40E-29	3.661006401	1.69E-24	3.52E-23	-2.030186568	2.35E-11	1.35E-09	0.535643911	0.002357352	0.301531576	-1.494542658	4.05E-12	9.07E-11			
